Time,Source_mode,Source_711-083,Source_711-084,Name_mode,Name_710-131,Name_710-132,Name_710-135,Name_710-170,Name_711-083,Name_711-084,Type_mode,Type_PDM,Type_TRAIN_DRIVER,Type_WARNING,Complete_code_mode,Complete_code_2-19,Complete_code_5-1,Complete_code_5-10,Complete_code_5-11,Complete_code_5-12,Complete_code_5-13,Complete_code_5-14,Complete_code_5-15,Complete_code_5-16,Complete_code_5-17,Complete_code_5-20,Complete_code_5-21,Complete_code_5-3,Complete_code_5-31,Complete_code_5-32,Complete_code_5-33,Complete_code_5-34,Complete_code_5-35,Complete_code_5-36,Complete_code_5-5,Complete_code_5-7,Complete_code_5-9,Complete_code_5-90,Complete_code_5-98,Complete_code_5-99,Master_mode,Master_711-083,Master_Master Assente,Master_711-084,Speed_mean,Criticality_mode,Criticality_ratio,Criticality_0,Criticality_1,Colour_mode,Colour_azzurro,Colour_giallo,Season,Services,Total_KM,R4_progr_count,RD_progr_count,RP_progr_count,RT_progr_count,VI_progr_count,VIS_progr_count,Sched_maint_progr,Corr_maint_progr
2020-11-24,711-084,23,68,711-084,0,12,0,15,23,41,PDM,89,0,2,5-9,0,2,0,0,0,5,1,1,0,0,1,1,5,8,5,4,3,10,2,2,0,22,0,16,3,Master Assente,7,80,4,2.4065934065934065,0,0.12087912087912088,80,11,azzurro,80,11,Autumn,3,115.7,1,0,1,0,2,1,5,6
2020-11-25,711-084,15,114,710-170,4,14,2,58,9,42,PDM,126,0,3,5-98,1,0,0,3,0,0,0,0,0,0,1,2,11,5,1,5,0,13,4,17,26,1,0,39,0,Master Assente,4,72,53,35.70542635658915,0,0.2248062015503876,100,29,azzurro,97,32,Autumn,17,622.3000000000001,1,0,1,0,2,1,5,6
2020-11-26,711-084,52,80,710-131,43,11,4,31,5,38,PDM,132,0,0,5-5,1,0,0,3,0,2,0,0,0,0,0,0,3,0,4,5,2,10,0,54,14,0,0,34,0,Master Assente,16,76,40,22.931818181818183,0,0.4393939393939394,74,58,azzurro,71,61,Autumn,14,562.8000000000001,1,0,1,0,2,1,5,6
2020-11-27,711-084,6,116,711-084,2,26,3,41,1,49,PDM,121,0,1,5-98,0,1,0,1,0,1,0,0,1,0,1,0,23,0,0,0,1,1,2,19,6,2,0,53,10,Master Assente,1,97,24,32.81147540983606,0,0.3524590163934426,79,43,azzurro,77,45,Autumn,13,522.6,1,0,1,0,2,1,5,6
2020-11-28,711-084,25,66,711-084,0,18,0,11,25,37,PDM,90,1,0,5-98,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,20,3,12,0,48,1,Master Assente,8,42,41,31.01098901098901,0,0.21978021978021978,71,20,azzurro,71,20,Autumn,13,522.6,1,0,1,0,2,1,5,6
2020-11-29,711-084,42,99,711-084,0,14,11,31,31,54,PDM,139,1,1,5-98,0,0,0,1,0,1,0,0,0,1,1,0,7,4,0,0,1,0,0,31,7,31,0,50,6,Master Assente,17,76,48,25.907801418439718,0,0.2695035460992908,103,38,azzurro,102,39,Autumn,15,545.8000000000001,1,0,1,0,2,1,5,6
2020-11-30,711-084,4,82,710-170,0,12,0,37,4,33,PDM,84,0,2,5-98,2,0,1,0,0,0,0,0,0,0,1,1,7,1,3,6,4,6,0,8,15,4,0,25,2,Master Assente,0,51,35,32.36046511627907,0,0.20930232558139536,68,18,azzurro,68,18,Autumn,15,566.8000000000001,1,0,1,0,2,1,5,6
2020-12-01,711-084,1,84,711-084,0,11,1,23,0,50,PDM,81,1,3,5-98,0,2,0,0,0,4,0,0,0,1,2,1,8,0,1,4,6,5,0,6,14,0,0,26,5,711-084,0,42,43,39.858823529411765,0,0.18823529411764706,69,16,azzurro,69,16,Winter,15,563.5,1,0,1,0,2,1,5,6
2020-12-02,711-084,57,110,710-170,1,15,9,51,47,44,PDM,164,1,2,5-9,1,3,0,2,0,6,1,1,0,1,1,1,0,0,4,0,5,8,1,15,19,43,0,39,16,Master Assente,14,116,37,29.149700598802394,0,0.12574850299401197,146,21,azzurro,144,23,Winter,13,522.6,1,0,1,0,2,1,5,6
2020-12-03,711-084,59,92,711-083,0,3,2,47,57,42,PDM,150,0,1,5-9,0,0,0,9,0,7,0,0,0,0,0,1,5,5,0,3,0,6,0,8,27,52,0,26,2,Master Assente,14,98,39,34.50993377483444,0,0.08609271523178808,138,13,azzurro,129,22,Winter,14,562.8000000000001,1,0,1,0,2,1,5,6
2020-12-04,711-084,29,93,711-084,8,12,9,32,12,49,PDM,120,0,2,5-98,2,0,0,0,0,0,0,1,1,0,1,1,3,0,0,13,0,8,0,28,12,1,0,36,15,711-084,13,45,64,26.991803278688526,0,0.2786885245901639,88,34,azzurro,87,35,Winter,15,566.8000000000001,1,0,1,0,2,1,5,6
2020-12-05,711-084,19,82,711-084,0,20,5,29,14,33,PDM,100,1,0,5-98,0,3,0,0,0,4,1,1,0,1,0,0,8,3,2,3,0,3,0,17,8,7,0,39,1,711-084,8,42,51,32.06930693069307,0,0.297029702970297,71,30,azzurro,71,30,Winter,16,549.8000000000001,1,0,1,0,2,1,5,6
2020-12-06,711-084,56,61,711-083,0,9,15,20,41,32,PDM,116,0,1,5-9,0,0,0,1,0,4,0,0,0,0,0,1,3,3,0,0,4,0,0,21,11,37,0,32,0,Master Assente,24,68,25,14.726495726495726,0,0.20512820512820512,93,24,azzurro,92,25,Winter,9,341.0,1,0,1,0,2,1,5,6
2020-12-07,711-084,0,73,711-084,0,21,0,15,0,37,PDM,73,0,0,5-98,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,15,0,9,0,6,7,0,0,27,0,Master Assente,0,45,28,15.178082191780822,0,0.136986301369863,63,10,azzurro,58,15,Winter,16,392.1,1,0,1,0,2,1,5,6
2020-12-09,711-084,28,79,711-084,1,21,5,9,22,49,PDM,102,2,3,5-98,0,1,0,2,1,0,0,1,0,2,1,1,8,3,0,3,6,1,0,20,0,21,0,35,1,711-084,12,42,53,23.439252336448597,0,0.2803738317757009,77,30,azzurro,75,32,Winter,13,213.1,1,0,1,0,2,1,5,6
2020-12-10,711-084,1,46,711-084,1,3,0,7,0,36,PDM,46,1,0,5-98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,3,0,8,0,0,0,30,0,Master Assente,0,27,20,20.80851063829787,0,0.1702127659574468,39,8,azzurro,39,8,Winter,12,209.0,1,0,1,0,2,1,5,6
2020-12-11,711-084,29,75,710-170,0,11,7,34,22,30,PDM,102,2,0,5-98,2,3,0,0,0,4,0,0,1,2,0,0,2,0,0,0,6,0,3,20,4,20,0,37,0,711-084,11,45,48,24.5,0,0.25961538461538464,77,27,azzurro,76,28,Winter,14,562.8000000000001,1,0,1,0,2,1,5,6
2020-12-12,711-084,39,107,710-170,0,13,11,48,28,46,PDM,144,2,0,5-98,0,3,0,3,0,3,1,1,1,2,0,0,20,0,0,9,0,6,0,18,19,12,0,47,1,Master Assente,16,86,44,20.589041095890412,0,0.2945205479452055,103,43,azzurro,99,47,Winter,15,566.8000000000001,1,0,1,0,2,1,5,6
2020-12-13,711-084,5,24,710-170,2,7,2,9,1,8,PDM,28,1,0,5-98,2,1,0,0,0,1,0,0,2,1,0,0,2,1,0,0,3,6,0,3,0,0,0,7,0,Master Assente,0,16,13,13.10344827586207,0,0.27586206896551724,21,8,azzurro,19,10,Winter,8,301.6,1,0,1,0,2,1,5,6
2020-12-14,711-084,87,190,711-084,0,46,39,69,48,75,PDM,275,0,2,5-98,0,0,0,2,0,6,0,0,0,0,1,1,42,1,0,3,1,2,0,50,14,35,0,86,33,711-084,12,110,155,27.826714801444044,0,0.33212996389891697,185,92,azzurro,183,94,Winter,16,607.0,1,0,1,0,2,1,5,6
2020-12-15,711-084,0,79,711-084,0,21,0,19,0,39,PDM,77,0,2,5-98,1,2,2,1,1,3,1,1,1,0,1,0,6,3,3,2,0,11,0,7,4,0,0,29,0,Master Assente,0,44,35,27.31645569620253,0,0.25316455696202533,59,20,azzurro,57,22,Winter,14,532.6,1,0,1,0,2,1,5,6
2020-12-16,711-084,1,305,711-084,0,30,1,10,0,265,PDM,300,3,3,5-3,2,0,0,55,1,3,0,0,2,3,1,1,116,5,4,0,1,2,0,6,0,4,3,97,0,Master Assente,0,226,80,7.124183006535947,0,0.40522875816993464,182,124,giallo,125,181,Winter,17,381.1,1,0,1,0,2,1,5,6
2020-12-22,711-084,8,43,711-084,0,1,4,19,4,23,PDM,49,2,0,5-98,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,11,2,0,0,32,2,Master Assente,0,30,21,17.96078431372549,0,0.23529411764705882,39,12,azzurro,39,12,Winter,17,324.29999999999995,1,0,1,1,2,1,6,7
2020-12-23,711-084,10,76,711-084,0,12,4,23,6,41,PDM,85,1,0,5-98,0,0,0,0,0,1,0,0,5,1,0,0,4,0,0,5,0,6,0,20,4,0,0,36,4,Master Assente,5,54,27,25.267441860465116,0,0.27906976744186046,62,24,azzurro,57,29,Winter,14,508.70000000000005,1,0,1,1,2,1,6,7
2020-12-24,711-084,58,92,711-084,0,26,38,22,20,44,PDM,148,2,0,5-98,0,0,0,0,0,2,1,0,0,2,0,0,14,7,0,9,0,0,0,36,0,7,0,72,0,Master Assente,16,82,52,31.2,0,0.34,99,51,azzurro,99,51,Winter,18,344.4,1,0,1,1,2,1,6,7
2020-12-25,711-084,12,74,710-170,0,7,12,35,0,32,PDM,82,3,1,5-7,0,1,0,0,0,0,1,0,0,3,0,1,5,0,0,0,0,12,1,19,23,0,0,19,1,711-084,3,41,42,40.86046511627907,0,0.3023255813953488,60,26,azzurro,60,26,Winter,10,491.20000000000005,1,0,1,1,2,1,6,7
2020-12-26,711-084,3,92,711-084,0,20,2,25,1,47,PDM,94,0,1,5-98,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,6,0,12,0,2,0,0,0,66,2,Master Assente,0,57,38,12.284210526315789,0,0.08421052631578947,87,8,azzurro,87,8,Winter,11,469.20000000000005,1,0,1,1,2,1,6,7
2021-01-10,711-084,32,286,710-170,4,26,7,188,21,72,PDM,311,5,2,5-98,0,0,0,0,0,7,0,1,0,5,1,1,65,22,2,11,0,39,0,10,1,19,0,116,18,Master Assente,0,180,138,17.67295597484277,0,0.2389937106918239,242,76,azzurro,242,76,Winter,15,546.4,1,0,1,1,2,1,6,9
2021-01-11,711-084,19,56,711-084,10,10,4,20,5,26,PDM,75,0,0,5-98,0,0,0,4,0,1,0,0,2,0,0,0,11,0,0,8,4,0,0,4,7,9,0,20,5,Master Assente,8,43,24,38.29333333333334,0,0.2,60,15,azzurro,54,21,Winter,14,562.8000000000001,1,0,1,1,2,1,6,9
2021-01-12,711-084,15,120,710-170,8,5,6,77,1,38,PDM,134,1,0,5-98,0,1,1,6,0,13,0,1,1,1,0,0,19,0,0,4,0,2,0,6,19,4,0,50,7,Master Assente,13,88,34,32.422222222222224,0,0.2074074074074074,107,28,azzurro,100,35,Winter,12,482.40000000000003,1,0,1,1,2,1,6,9
2021-01-13,711-084,23,59,711-084,11,4,8,22,4,33,PDM,80,2,0,5-98,0,0,0,2,0,3,0,0,0,2,0,0,6,0,0,5,2,9,4,8,5,4,0,30,2,711-084,10,34,38,38.19512195121951,0,0.17073170731707318,68,14,azzurro,66,16,Winter,15,566.8000000000001,1,0,1,1,2,1,6,9
2021-01-14,711-084,4,75,710-170,3,8,1,53,0,14,PDM,79,0,0,5-99,0,0,0,4,0,8,0,0,0,0,0,0,7,6,0,0,0,7,3,2,4,5,0,14,19,Master Assente,0,52,27,36.063291139240505,0,0.11392405063291139,70,9,azzurro,66,13,Winter,18,387.0,1,0,1,1,2,1,6,9
2021-01-18,711-083,31,22,710-135,10,5,20,4,1,13,PDM,52,0,1,5-5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,24,0,0,0,20,5,711-083,31,15,7,16.90566037735849,0,0.4528301886792453,29,24,azzurro,29,24,Winter,17,378.8,1,0,1,1,2,1,6,9
2021-01-19,711-083,5,0,710-135,0,0,5,0,0,0,PDM,5,0,0,5-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,Master Assente,0,5,0,0.2,1,0.6,2,3,giallo,2,3,Winter,4,91.7,1,0,1,1,2,1,6,9
2021-01-20,711-083,10,0,711-083,3,0,3,0,4,0,PDM,10,0,0,5-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,711-083,10,0,0,16.6,0,0.0,10,0,azzurro,10,0,Winter,17,622.3000000000001,1,0,1,1,2,1,6,9
2021-01-21,711-083,51,1,710-131,22,0,13,0,16,1,PDM,52,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,4,4,0,24,6,Master Assente,9,43,0,42.88461538461539,0,0.2692307692307692,38,14,azzurro,38,14,Winter,14,562.8000000000001,1,0,1,1,2,1,6,9
2021-01-22,711-083,11,6,710-170,4,1,3,4,4,1,PDM,17,0,0,5-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,2,6,711-083,11,4,2,59.705882352941174,0,0.23529411764705882,13,4,azzurro,13,4,Winter,13,522.6,1,0,1,1,2,1,6,9
2021-01-23,711-083,51,0,710-135,9,0,37,0,5,0,PDM,51,0,0,5-3,0,0,0,10,0,1,0,0,0,0,0,0,16,0,0,0,0,0,1,8,0,0,0,15,0,Master Assente,10,41,0,14.313725490196079,0,0.47058823529411764,27,24,giallo,17,34,Winter,13,522.6,1,0,1,1,2,1,6,9
2021-01-25,711-084,12,27,711-084,3,2,0,7,9,18,PDM,38,1,0,5-98,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,6,0,11,2,15,0,Master Assente,10,24,5,11.64102564102564,0,0.20512820512820512,31,8,azzurro,31,8,Winter,14,526.6,1,0,1,1,2,1,6,9
2021-01-26,711-083,44,39,710-135,1,15,34,8,9,16,PDM,83,0,0,5-5,0,1,0,1,0,1,0,0,1,0,0,0,3,5,0,1,0,18,0,23,0,2,0,16,11,Master Assente,16,61,6,24.16867469879518,0,0.3253012048192771,56,27,azzurro,54,29,Winter,16,357.6,1,0,1,1,2,1,6,9
2021-01-27,711-083,7,0,710-135,0,0,7,0,0,0,PDM,7,0,0,5-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,711-083,7,0,0,0.0,1,1.0,0,7,giallo,0,7,Winter,16,402.8,1,0,1,1,2,1,6,9
2021-01-29,711-083,36,1,710-135,6,0,15,0,15,1,PDM,37,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,3,0,15,0,Master Assente,0,36,1,50.729729729729726,1,0.5135135135135135,18,19,giallo,18,19,Winter,17,378.8,1,0,1,1,2,1,6,9
2021-01-30,711-083,15,2,710-131,10,0,2,0,3,2,PDM,17,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,2,0,7,0,Master Assente,0,17,0,39.411764705882355,0,0.29411764705882354,12,5,azzurro,12,5,Winter,16,433.0,1,0,1,1,2,1,6,9
2021-01-31,711-084,14,16,711-084,5,7,7,0,2,9,PDM,30,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,6,0,0,5,0,0,0,10,0,Master Assente,14,16,0,19.466666666666665,0,0.3,21,9,azzurro,21,9,Winter,16,402.8,1,0,1,1,2,1,6,9
2021-02-01,711-083,13,2,711-083,6,0,0,0,7,2,PDM,15,0,0,5-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,711-083,11,4,0,19.466666666666665,1,0.5333333333333333,7,8,giallo,6,9,Winter,3,115.7,1,0,1,1,2,1,6,9
2021-02-02,711-083,51,1,710-131,18,0,16,0,17,1,PDM,52,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17,4,0,0,24,0,Master Assente,13,38,1,42.98076923076923,0,0.46153846153846156,28,24,azzurro,28,24,Winter,17,324.29999999999995,1,0,1,1,2,1,6,9
2021-02-03,711-083,109,4,711-083,31,3,22,0,56,1,PDM,113,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,41,0,8,0,47,3,Master Assente,4,105,4,40.38053097345133,0,0.48672566371681414,58,55,azzurro,58,55,Winter,17,334.4,1,0,1,1,2,1,6,9
2021-02-04,711-083,24,1,710-131,13,0,4,0,7,1,PDM,25,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,2,0,10,2,Master Assente,8,17,0,38.8,0,0.32,17,8,azzurro,17,8,Winter,14,562.8000000000001,1,0,1,1,2,1,6,9
2021-02-05,711-083,18,0,710-135,0,0,12,0,6,0,PDM,18,0,0,5-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,Master Assente,5,13,0,23.22222222222222,1,0.6111111111111112,7,11,giallo,6,12,Winter,14,562.8000000000001,1,0,1,1,2,1,6,9
2021-02-06,711-084,4,5,711-084,1,0,0,2,3,3,PDM,9,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,4,0,711-084,2,2,5,22.555555555555557,0,0.2222222222222222,7,2,azzurro,7,2,Winter,15,566.8000000000001,1,0,1,1,2,1,6,9
2021-02-07,711-083,22,1,710-131,10,0,7,0,5,1,PDM,22,1,0,5-98,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,7,0,0,0,11,0,711-083,20,3,0,17.956521739130434,0,0.4782608695652174,12,11,azzurro,12,11,Winter,7,396.8,1,0,1,1,2,1,6,9
2021-02-08,711-084,19,31,710-132,0,14,11,7,8,10,PDM,50,0,0,5-5,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,5,0,13,0,2,0,11,7,Master Assente,6,25,19,23.74,0,0.48,26,24,azzurro,26,24,Winter,13,217.2,1,0,1,1,2,1,6,9
2021-02-09,711-084,25,29,710-135,9,10,15,6,1,13,PDM,49,5,0,5-5,0,0,0,1,0,1,0,0,0,5,0,0,4,0,0,0,0,6,1,18,4,2,0,9,3,Master Assente,15,30,9,29.38888888888889,0,0.4074074074074074,32,22,azzurro,31,23,Winter,17,365.8,1,0,1,1,2,1,6,9
2021-02-10,711-084,46,285,710-170,26,66,12,114,8,105,PDM,318,5,8,5-5,0,0,0,10,4,0,0,0,0,5,3,1,42,0,9,19,19,15,0,126,18,4,0,53,3,711-084,19,138,174,29.30211480362538,1,0.5075528700906344,163,168,giallo,153,178,Winter,15,603.0,1,0,1,1,2,1,6,9
2021-02-11,711-084,72,245,710-170,21,67,42,93,9,85,PDM,317,0,0,5-98,1,0,1,4,0,0,0,0,0,0,0,0,39,0,0,31,0,21,0,53,46,29,0,71,21,Master Assente,52,205,60,23.70031545741325,0,0.29652996845425866,223,94,azzurro,219,98,Winter,14,562.8000000000001,1,0,1,1,2,1,6,9
2021-02-12,711-084,64,140,710-170,19,41,25,62,20,37,PDM,201,3,0,5-3,0,0,4,2,0,0,0,0,0,3,0,0,69,7,0,1,24,6,0,18,6,3,2,53,6,Master Assente,56,77,71,29.32843137254902,0,0.44607843137254904,113,91,azzurro,111,93,Winter,13,522.6,1,0,1,1,2,1,6,9
2021-02-13,711-084,171,379,710-170,46,128,38,158,87,93,PDM,550,0,0,5-98,4,5,0,0,0,9,3,0,0,0,0,0,104,9,23,28,0,15,2,31,41,31,0,198,47,Master Assente,0,301,249,31.918181818181818,0,0.2672727272727273,403,147,azzurro,403,147,Winter,11,442.20000000000005,1,0,1,1,2,1,6,9
2021-02-14,711-084,13,373,711-084,6,78,5,145,2,150,PDM,368,3,15,5-98,35,14,2,0,0,12,7,12,4,3,8,7,17,25,0,44,12,54,0,22,36,0,9,57,6,Master Assente,6,272,108,31.989637305699482,0,0.2823834196891192,277,109,azzurro,273,113,Winter,15,545.8000000000001,1,0,1,1,2,1,6,9
2021-02-15,711-084,21,118,710-170,5,31,10,59,6,28,PDM,128,8,3,5-98,0,3,0,8,0,3,0,0,0,8,0,3,10,0,6,12,0,12,0,22,15,1,0,36,0,711-084,12,49,78,29.309352517985612,0,0.2517985611510791,104,35,azzurro,96,43,Winter,15,566.8000000000001,1,0,1,1,2,1,6,9
2021-02-16,711-084,7,110,710-170,7,27,0,54,0,29,PDM,113,0,4,5-35,0,2,0,4,0,4,2,2,0,0,2,2,23,0,0,8,0,30,0,9,4,0,2,23,0,711-084,7,37,73,16.572649572649574,0,0.3247863247863248,79,38,azzurro,75,42,Winter,18,387.0,1,0,1,1,2,1,6,9
2021-02-17,711-084,34,178,711-084,9,46,6,29,19,103,PDM,207,1,4,5-98,2,0,0,0,0,0,0,0,0,1,2,2,40,1,0,23,6,17,0,25,1,17,0,67,8,Master Assente,7,107,98,33.740566037735846,0,0.3160377358490566,145,67,azzurro,145,67,Winter,1,21.2,1,0,1,1,2,1,6,9
2021-02-18,711-084,77,200,711-084,14,66,23,48,40,86,PDM,273,1,3,5-35,4,5,2,6,0,5,4,2,0,1,2,1,18,6,2,36,0,67,0,15,0,48,0,41,12,Master Assente,12,243,22,16.126353790613717,0,0.18050541516245489,227,50,azzurro,221,56,Winter,17,381.1,1,0,1,1,2,1,6,9
2021-02-22,711-084,72,413,710-132,18,165,37,107,17,141,PDM,475,2,8,5-98,4,12,0,2,0,22,3,6,4,2,1,7,43,25,0,61,0,54,19,65,10,3,0,128,14,Master Assente,35,255,195,26.983505154639175,0,0.27422680412371137,352,133,azzurro,346,139,Winter,17,324.29999999999995,1,0,1,1,3,1,7,9
2021-02-23,711-084,66,315,710-132,23,136,23,90,20,89,PDM,365,0,16,5-98,0,10,0,6,0,4,7,7,0,0,9,7,70,24,0,33,0,40,0,4,12,0,0,124,24,Master Assente,2,223,156,64.3254593175853,0,0.2572178477690289,283,98,azzurro,277,104,Winter,15,566.8000000000001,1,0,1,1,3,1,7,9
2021-02-24,711-084,121,338,710-132,41,132,36,110,44,96,PDM,439,3,17,5-98,0,6,0,5,0,18,5,5,0,3,13,4,103,26,10,25,0,29,0,71,0,18,0,116,2,711-084,15,202,242,35.209150326797385,0,0.4139433551198257,269,190,azzurro,264,195,Winter,19,394.0,1,0,1,1,3,1,7,9
2021-02-25,711-084,64,167,710-132,35,60,14,49,15,58,PDM,231,0,0,5-98,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,4,2,0,37,16,8,0,83,19,Master Assente,42,111,78,25.03030303030303,0,0.42857142857142855,132,99,azzurro,132,99,Winter,14,562.8000000000001,1,0,1,1,3,1,7,9
2021-02-26,711-084,222,276,710-131,105,79,59,100,58,97,PDM,498,0,0,5-98,6,0,0,5,0,0,0,3,0,0,0,0,125,4,0,4,2,34,0,37,28,9,0,190,51,711-083,207,203,88,55.87550200803213,0,0.3433734939759036,327,171,azzurro,322,176,Winter,13,522.6,1,0,1,1,3,1,7,9
2021-02-27,711-084,32,116,710-132,15,57,7,25,10,34,PDM,141,7,0,5-5,0,0,0,0,0,0,0,0,0,7,0,0,2,16,0,13,0,4,3,46,18,1,0,37,1,Master Assente,20,64,64,44.13513513513514,0,0.32432432432432434,100,48,azzurro,100,48,Winter,13,522.6,1,0,1,1,3,1,7,9
